definition,word,author,tags,up,down,date
a bad street musician \ optional: 'troubasnore',troubabore,ΔиłĦ☼иצ ß€₡ʞ,"[u'#troubadour', u'#bore', u'#minstrel', u'#itinerant musician', u'#snorrowful']",2646,481,"October 25, 2009"
"A fundamental belief of Mitt Romney's, based on mistaken understanding of an issue (one of many).",Mittconception,VGBaby,"[u'#mitt romney', u'#mittromnia', u'#mitt romney flip-flopper', u'#mittle class', u'#mittiot']",809,571,"July 16, 2012"
Noun: Item of clothing or apparel used to make you look or feel more successful,successorize,CaseyLillet,"[u'#accessory', u'#accessorize', u'#embellish', u'#trim', u'#garnish', u'#decorate']",365,288,"March 19, 2010"
"The new, exponentially emerging class rising up in America consisting of often over-qualified but unemployed persons.",No Collar,Dirty Branchez,"[u'#collar', u'#no collar', u'#blue collar', u'#white collar', u'#gray collar', u'#class']",661,292,"October 12, 2009"
"noun. Pants that use tough fabric (jeans, khakis) and constantly look like said wearer has a boner. Jeans show this the most, especially whilst sitting.",boner pants,"Timmah, esq","[u'#boner', u'#boner pants', u'#jeans', u'#strap', u'#willy']",322,427,"October 22, 2007"
A person who uses an obscene amount of Axe body spray.,axehole,Woletrap Nayr,"[u'#axe hole', u'#jock', u'#jerk', u'#axe', u'#body spray']",819,271,"July 19, 2008"
When you have your phone on vibrate in your pocket and you're wearing baggy trousers so when you get a text it tickles your nuts.,texticle,Spong a Mong,"[u'#text', u'#testicle', u'#phone', u'#nuts', u'#pocket']",1074,411,"March 31, 2006"
"A French fuck buddy. ",bone ami,ΔиłĦ☼иצ ß€₡ʞ,"[u'#bon ami', u'#good friend', u'#sex partner', u'#lover', u'#non-platonic friend']",3736,451,"February 24, 2009"
The first person at the front of a single line of moving traffic.,Slowest Common Denominator,escyr,"[u'#snail car', u'#slow driver', u'#sunday driver', u'#turtle chaser', u'#my grandpa']",483,360,"July 10, 2012"
"When parents feed their young children, who do not know better or aren't given any healthy options, pure crap, resulting in juvenile onset diabetes. This should be considered child abuse.",Diabeating your kids,Unfortunate Truth,"[u'#diabetes', u'#obese', u'#fat', u'#children', u'#crime', u'#child abuse', u'#beating']",1308,755,"July 08, 2012"
"when a private matter becomes so well-known to the public, it can be looked up on the internet.",googlical proportions,ΔиłĦ☼иצ ß€₡ʞ,"[u'#google', u'#bible', u'#biblical proportions', u'#googleable', u'#search engine']",1874,313,"September 08, 2011"
the gene in a person’s DNA that causes him or her to constantly text “OMG!”,Oh My God Particle,ΔиłĦ☼иצ ß€₡ʞ,"[u'#omg', u'#oh my god', u'#god particle', u'#higgs boson particle', u'#dna', u'#deoxyribonucleic acid']",970,604,"July 06, 2012"
The act of hitting the snooze button over and over again and having a different dream every time you fall asleep.,Dreamathon,aMarkyMarka,"[u'#dream', u'#marathon', u'#sleep', u'#sleeping', u'#dreaming', u'#dreams', u'#tired', u'#fun', u'#awesome', u'#visual', u'#snooze', u'#alarm', u'#wake', u'#waking up', u'#awake', u'#ten', u'#minutes', u'#hitting', u'#button', u'#time']",636,315,"July 04, 2012"
"1. When you are so tired, everything you say or type comes out misspelled, or as nonsense.2. When lack of sleep prevents you from generating a coherent sentence in conversation.",insomnia dyslexia,Joy Rising,"[u'#dyslexia', u'#insomnia', u'#dislexia', u'#sleep', u'#typo']",592,347,"April 22, 2010"
"any public transportation (bus, train, subway, metro) where you are the ONLY person getting a ride",poor man's limo,ewensa,"[u'#bus', u'#train', u'#subway', u'#mass traportation', u'#metro', u'#limousine', u""#poor man's""]",673,259,"July 03, 2012"
1. Fired without merit or reason2. Being let go from a job unexpectedly.,Ann Curry'd,dontlollygag,"[u'#fired', u'#hired', u'#no-job', u'#unemployed', u'#haters']",428,352,"July 02, 2012"
When an intervention is needed to drag your wife off pintrest.,Pintervention,AUB_JT,"[u'#pin', u'#piners', u'#pintrist', u'#pentrist', u'#penner', u'#pinner']",386,250,"October 09, 2011"
The honor of being screened by the TSA at airport security.,Freedom Fondle,Fruitfulfourths,"[u'#tsa', u'#screening', u'#pat-down', u'#molesting', u'#airports']",695,276,"November 21, 2010"
"Acting like you are more, or you have more than what really exists.",fronting,Stacy,[],1561,524,"November 14, 2002"
"Something considered antiquated or eliciting nostalgia, but that in relative terms is a quite recent phenomenon; typically dating back no earlier than the year 2000. A variation on the term ""old school.""",old.edu,SHLA,"[u'#old school', u'#old skool', u'#classic', u'#throwback', u'#vintage', u'#so yesterday']",514,1089,"June 28, 2012"
Taking a poop at work while getting paid.,On The Clock Dump,hangnail1,"[u'#o.t.c.d', u'#otcd', u'#on the clock dump', u'#poop', u'#pooping', u'#crappin on the clock', u'#sotc', u'#paid dump', u'#working poo']",1187,1422,"June 27, 2012"
"To openly be a fan of any of the Star Trek series and/or films. Also known as a ""Trekky"".",Rock Out With My Spock Out,thebetterfriend2,"[u'#nerd', u'#geek', u'#fan', u'#sci fi', u'#science', u'#fiction', u'#lonely', u'#space', u'#star wars', u'#kirk', u'#enterprise', u'#ship', u'#vessel', u'#vulcan', u'#romulan', u'#galaxy', u'#phaser', u'#trekky', u'#nuclear wessels']",1734,3885,"February 08, 2010"
When you go to the bar intending to have just one beer and end up drinking four.,Leap Beer,Stiffygal,"[u'#leapbeer', u'#drinking', u'#excuses', u'#beer', u'#alcohol', u'#bars', u'#ale']",1616,3169,"June 22, 2012"
"The act of sending a tweet in which the user reflects on a sentimental moment of their life, i.e. a graduation, the end of a life period, or the passing of a loved one.",bittertweet,SamSJS,"[u'#twitter', u'#twitteracy', u'#twitterbait', u'#twitterbug', u'#twittercast']",1435,3278,"June 20, 2012"
Liking your own post or comment on Facebook.,liketurbate,ChadAlanJackson,"[u'#liketurbating', u'#liketurbation', u'#like-turbating', u'#like-turbate', u'#like-turbation', u'#liketurbator', u'#like-turbator', u'#liketurbater']",2476,4854,"June 20, 2012"
"Latin for dork. From the Simpsons when Barts say to Lisa: ""You are...as they say in Latin...a dorkus-malorkus."" ",dorkus malorkus,JeremyS,"[u'#simpsons', u'#dork', u'#latin', u'#bart simpson', u'#lisa simpson']",2554,5435,"August 21, 2006"
"Those damn things that show up when you're trying to have sex.Or watching a sad movie.",Feelings,Gallballs84,"[u'#feel', u'#crying', u'#fuck', u'#sex', u'#sad movies']",4058,5497,"February 18, 2009"
"‎The condition which compels men to overcompensate their lack of manhood by overachieving in other areas, bodybuilding, for example,",Gherkinson's Disease,mottman,"[u'#small penis', u'#small penis syndrom', u'#little dick', u'#gherkin', u'#tiny penis']",2690,5939,"March 06, 2012"
"Randomly adding anyone you come across on a social network, including complete strangers",friending spree,SA1T,"[u'#social network', u'#facebook', u'#friend request', u'#doof', u'#internet']",2809,5799,"June 18, 2011"
A wall of friends that protect indecent exposure from others. Used for women changing clothes in class to girls showing their tits.,Friend Barrier,Hermjesnez,"[u'#friend', u'#barrier', u'#friend barrier', u'#friend zone', u'#human circle']",2343,6148,"March 07, 2012"
When you or someone you know is in a relationship where one or the other experiences extreme emotional highs and lows on pretty much a dialy basis.,Bi Polar Coaster,Ze-Berger,"[u'#bipolar', u'#unstable', u'#drama', u'#relationship', u'#crazy']",2633,5987,"October 28, 2009"
A so-called activist who thinks he is helping towards a good cause by making a topic famous via blogs/social media.,armchair activist,jorit,"[u'#armchair activating', u'#copy this message', u'#for the good cause', u'#armchair', u'#activist']",3195,5729,"March 07, 2012"
Beer or an alcoholic beverage. Mostly used by little kids.,Daddy Soda,crackheadcharles,"[u'#alcohol', u'#beer', u'#kids', u'#dad', u'#soda']",2593,6013,"January 17, 2012"
"An individual whose Facebook statuses are often chiched quotes such as ""when in doubt, just take the next small step"", ""make peace with the past so it doesn't screw up the present"", or ""sometimes its hard to understand, but time tells truth."" These give the impression that said Facebook user is wise, when in fact they are merely putting on airs.",Facebook Philosopher,twentyXDsix,"[u'#facebook', u'#philosopher', u'#status', u'#facebook status', u'#status update']",3368,4163,"July 31, 2009"
"When you notice a coworker spacing out, or dozing off in a meeting.",Going Screensaver,weisneja,"[u'#sleep', u'#doze', u'#space', u'#catnap', u'#bored']",3469,6326,"March 04, 2012"
when someone has the fear of talking on the phone.,telephobia,&Megan;,"[u'#scared', u'#telefobia', u'#phone', u'#talk', u'#telephone']",3959,8844,"March 06, 2006"
The result of anxiety causing you to have crazy amounts of diarrhea.,Anxiarrhea,Bra Miller,"[u'#anxiety', u'#diarrhea', u'#interview', u'#crap', u'#toilet']",3427,8058,"November 04, 2010"
"A male, ages 18-24, generally of the Caucasian descent, who refers to their acquaintances as ""Dude"" and/or ""Bro"" in the same sentence. In this case, the male uses both terms in one sentence. The conversation begins with ""Dude"" and ends with ""Bro"", 9 times out of 10. ",DudeBro,Semaj Raff,"[u'#no homo', u'#douchebag', u'#dude', u'#bro', u'#wmu', u'#suburb', u'#mountain dew']",2820,5655,"October 06, 2008"
A medication FDA approved and released for public consumption by a pharmaceutical company only to be re-called and be the subject of a class-action lawsuit because of its previouslly unreported dangers.,harmaceutical,Jaggsokc,"[u'#harmacy', u'#phamaceutical', u'#harmacist', u'#medication', u'#class-action lawsuit']",2389,5289,"November 10, 2010"
"For people who don't know the word ""our""",are,Thrash06,"[u'#our', u'#r', u'#we', u'#ares', u'#hour']",6619,9496,"September 20, 2006"
when someone asserts their dominance over you in a handshake by grabbing your fingers before you have a chance to get a proper grip,handshake rape,Ginger Balls 69,"[u'#hand shake', u'#dominance', u'#rape', u'#hand', u'#greeting']",3115,6088,"December 19, 2011"
Female arousal. The girl equivalent to morningwood guys experience upon waking.,girl wood,My Milkshake,"[u'#arousal', u'#morningwood', u'#erection', u'#horny', u'#excited', u'#hot', u'#sex', u'#turn-on', u'#stiffy', u'#hard-on', u'#turn off', u'#flacid', u'#grrl wood']",3111,7479,"July 08, 2009"
"From the show Workaholics, it is the equivelent of having an erection.",torqued,TallyMcSky,"[u'#erection', u'#boner', u'#hard-on', u'#stiffy', u'#renob', u'#teepee-in-your-pants']",3625,6805,"April 08, 2011"
a 20-30 something with really bad taste in food that thinks they can discern the nuances in fine wine and cheese ETC and writes a useless review on Yelp.,yelpie,coocoomike,"[u'#yelp', u'#yuppie', u'#yuppy', u'#yelpy', u'#yelpee']",2498,6150,"March 01, 2009"
"Arnold Schwarzenegger has a big one, Michael J. Fox has a small one, Cher and Madonna don't have one, and the Pope has one but doesn't use it.",last name,Mike the Ekim,[],4124,6554,"May 08, 2005"
The REAL reason the wolrd is ending in 2012.,Zombie Apocalpyse,Supernothing,"[u'#zombie', u'#zombie apocalpyse', u'#nerf guns', u'#twilight', u'#apocalpyse']",2915,6315,"May 29, 2010"
"Coined by comedian Christopher Titus, first date arm occurs when a man is taking a girl on a first date. While his arm is on the armrest he will flex it as hard as he can. That way, just in case she brushes up against him, she will think ""Oh my god, he's spun steel"". The resulting tired arm is called, first date arm.",First Date Arm,phobes21,"[u'#first', u'#date', u'#arm', u'#dating', u'#sex']",2014,4595,"August 28, 2011"
"1. The biggest casino in the world for people of Main Street (bigger than Las Vegas).  2. A term used to describe the area for Day Traders in downtown New York, where people buy and sell mostly for emotional reasons. ",Wall Street,Shareeb4Prez,"[u'#main street', u'#stock market', u'#casino', u'#gambling', u'#investing', u'#money']",2443,3628,"February 23, 2009"
1. Having no intention of following thru on a date or promise2. A sarcastic way of accepting a date.3. Accepting a date only to mock the requester.,Pencil you into my Blackberry,Dayznout,"[u'#pencil', u'#blackberry', u'#decline', u'#sarcasm', u'#mocking', u'#rejection']",3387,5709,"February 28, 2012"
The terrible feeling you get the day you have to go back to work after more than two days off due to a holiday.,holiday hangover,Jaymi Dark,"[u'#hangover', u'#holiday', u'#lazy', u'#moody', u'#tired']",2794,4423,"December 28, 2007"
Used as an exaggeration for a time period between something that just happened and the last time that same thing happened.,back when Britney Spears was still hot,pokefan94,"[u'#britney', u'#long', u'#time', u'#exaggeration', u'#ping pong']",3715,5242,"February 05, 2011"
"An anxiety disorder resulting from a test that kicked ones ass to the highest degree. Symptoms usually include depression, flashbacks, and binge drinking. Post traumatic test syndrome or P.T.T.S rankes highest among college students.",post traumatic test syndrome,Dustin Merr,"[u'#post', u'#traumatic', u'#test', u'#syndrome', u'#p.t.t.s', u'#p.t.s', u'#tramatic', u'#college', u'#sindrome', u'#stress', u'#hard']",3715,4710,"October 22, 2007"
A shortened version of super. Can be used in any situation.,Supes,White T Ain't No Nigga Like Me,"[u'#thizzle', u'#csuf', u'#marijuana', u'#101', u'#bloasted']",1825,7767,"December 23, 2009"
Noun. A computer virus contracted due to unprotected intimacy with web sites of ill repute. Note- Mac users are largely immune to the E-Clap.,E-Clap,Grimache,"[u'#virus', u'#computer', u'#clap', u'#eclap', u'#std', u'#vd']",2626,5408,"May 15, 2009"
An old laptop or desktop computer used soley for downloading shady porn and illegal music so as not to lose anythign important if and when it gets hit with a nasty virus.,Music and Porn Computer,artgod33,"[u'#porn', u'#music', u'#computer', u'#virus', u'#my nuts']",4212,4673,"February 20, 2009"
used to describe a relationship with an ex-significant other that still involves occasional sex.,sleeping terms,live 85,"[u'#speaking terms', u'#antipathy', u'#ex', u'#girlfriend', u'#boyfriend']",3088,6037,"August 18, 2009"
"A growing collection of video games that have yet to be opened and played, likely due to the fact that so many good games come out and the owner simply cannot keep up.This is most commonly an issue for professionals in the video gaming industry.",Stack of Shame,CadeRageous,"[u'#gamer guilt', u'#gaymer guilt', u'#stack of shayme', u'#stack o shame', u'#s o s']",2335,5155,"February 27, 2012"
The practice of converting waste materials into products of greater value.,upcycling,PittCaleb,"[u'#recycling', u'#reusing', u'#environmentalism', u'#freeycycling', u'#reducing']",3293,5705,"November 08, 2007"
"An ancient novel full of murder, corruption, homosexuality, bestiality, incest and cruelty.  It is often read to children on Sunday.",bible,The Canadian Information Minister,[],30003,19373,"May 12, 2003"
"Hell Yeah Fuckin' Right, a song of Drake's album 'Take Care'",hyfr,MrMeditation1,"[u'#drake', u'#ovo', u'#ovoxo', u'#take care', u'#hell yea']",3423,9088,"November 06, 2011"
"A game played at either a meal or in a group setting.When at a meal, and everyone is on their phones, grab them and stack them face down in the center of the table. First to pick up their phone, pays the bill for all. If no one grabs it, everyone pays their part.When in a group setting, grab the phones and stack them. Whoever grabs their phone must perform challenges, each group member gets to pick a challenge so in a group of 10, touching your phone would cause you to do 10 challenges. You may use your phone during the challenges but afterwards, it goes back on the stack.",Phone Stack,JWilde,"[u'#texting addict', u'#phone crack', u'#dinnergame', u'#truth or dare', u'#darestack']",3567,5193,"February 26, 2012"
"A date with someone you've met over the internet; it's not quite a blind date because you've seen their photo, chatted with them and possibly talked to them on the phone.",Cyclops date,maxinca,"[u'#dates', u'#blind dates', u'#internet dating', u'#hook-ups', u'#bad dates']",3160,7107,"February 26, 2012"
"Someone who has had a lack of sleep, resulting in dark circles under their eyes. Someone who, as a result of too much marajuana, has dark circles under their eyes",panda eyes,Mil0,"[u'#tired', u'#sleep', u'#stoned', u'#marajuana', u'#weed', u'#dope', u'#hash', u'#dark', u'#circles', u'#dark circles', u'#pandaeyes', u'#pandaeye']",3456,5722,"May 15, 2007"
"When you havent had too much to drink the night before, and instead of ruining your morning, the restful sleep makes you feel better than normal when you wake up.",hang under,tmeador,"[u'#hang over', u'#drinking', u'#beer', u'#hung', u'#alcohol', u'#morning']",3353,7621,"May 31, 2008"
when one's spouse or roommate takes the first shower of the day and gets the hot water running so for your shower the availability of hot water is immediate.,shower fluffer,Drewtopia,"[u'#shower prepper', u'#shower hog', u'#fluffer', u'#prepper', u'#bath']",3310,7295,"February 12, 2009"
"A respectful term for a parent (maternal), the supplement to pops",Moms,Lukeism,"[u'#mother', u'#father', u'#mama', u'#mommy', u'#pops']",3195,7214,"May 17, 2010"
"To 'smellucinate' - to imagine a smell that isn't actually there, as if to 'hallucinate'.  To experience a 'smellucination'.",Smellucination,Glennyboy,"[u'#smell-ucinate', u'#hallucinate', u'#hallucination', u'#hallucinating', u'#imagine']",3847,7277,"August 02, 2007"
"When a person does not wash their hands after urinating they receive a yellow card.  Similar to a warning in sports.  ",yellow carded,rpetras,"[u'#yellow list', u'#yellow listed', u'#brown carded', u'#brown card', u'#piss boy']",3915,7130,"June 10, 2008"
"A measurement of time totaling 72 days. Became popular after Kim Kardashian's highly-publicized marriage, which ended after 72 days. Listed as one of the up-and-coming words of 2012.",kardash,metzler31,"[u'#kardash', u'#kardashian', u'#kerdash', u'#wedding', u'#short', u'#kris', u'#humphries', u'#kim kardashian', u'#ring', u'#sex tape']",4458,7540,"December 26, 2011"
"What straight couples have legally and commonly don't want, and what gay couples don't have legally and commonly want.",marriage,raspberry (lust) muffin,[],15347,7893,"May 27, 2005"
Politically correct way of saying that you look like shit.,You look tired,713hdj,"[u'#tired', u'#shit', u'#early', u'#messy hair', u'#sleepy']",9300,6162,"August 24, 2011"
"1) malapropism for 'intents and purposes'2) seriously determined and focused aquatic mammals, dangerous to sharks",intensive porpoises,ichi_san,"[u'#malapropism', u'#determined aquatic mammals', u'#grammatical error', u'#uneducated mistakes', u'#sounds like but never seen']",3736,7070,"February 22, 2012"
"the 6th of May - a special holiday, devoted to nursing hangovers and otherwise dealing with the consequences of Cinco de Mayo",Seis de Mayo,dbierman,"[u'#seis de mayo', u'#cinco de mayo', u'#tequila', u'#drinking', u'#drunk', u'#hangover']",2394,5368,"May 06, 2010"
"Drinko de Mayo is the great Mexican holiday which falls during the month of May. This holliday is not held to any schedule like the ever so regulated ""Cinco de Mayo"", or May 5th in our native English tongue. Drinko de Mayo is the holiday that celebrates the consumption of copius amounts of Tequila, by men women and children alike. This holiday is often attended by college students on or around finals, and wearing a sombrero is not required, but is generally preferred.",Drinko de Mayo,J-LEW#99,"[u'#tequila', u'#cinco de mayo', u'#mexican', u'#spic', u'#cuervo']",2669,4955,"May 03, 2010"
The constant stream of tears you produce when you're extremely tired and need some sleep.,Tired Tears,seashells1221,"[u'#tired', u'#tears', u'#sleep', u'#sleepy', u'#bed']",3291,6076,"January 04, 2012"
"n. Phonetics for Cluster-Fuck",Charlie Foxtrot,Lionel Mandrake,[],3485,5859,"January 22, 2004"
The sensation one feels in their hand or hands after extensive play on video games. The hand feels cramped and strained and jokingly takes on the appearance of a claw.,Gaming Claw,Kraykan,"[u'#gaming', u'#claw', u'#hand', u'#cramp', u'#wankers cramp', u'#fist', u'#hands', u'#games', u'#video game']",3325,6407,"April 19, 2008"
"Someone with low personal hygiene, ie. avoids using soap; doesn't wash.",soap dodger,Blue Jack,"[u'#soapdodger', u'#soap', u'#dirty', u'#smelly', u'#dodger']",4962,5485,"July 10, 2008"
iPause: The period of time between when the light turns green and the driver in the front of the line of cars looks up from his iPod or iPhone and pulls away from the light. This is usually preceded by the person behind them honking their horn.,iPause,rivetrod,"[u'#driving', u'#stop-light', u'#ipod', u'#iphone', u'#wait']",3681,6854,"February 19, 2012"
A unit of time ranging in value from one realtime minute to several hours.,Microsoft Minute,Anton Clarke,[],6347,6203,"January 29, 2004"
A man who strives to be a Sugar Daddy but just doesn't have the funds to pull it off.,Splenda Daddy,WeeLittleBit,[],7863,6956,"February 14, 2005"
A phrase usually uttered before a terrible idea.,You know what we should do,Hairinista,"[u'#terrible idea', u'#warning', u'#precursor', u""#you know what we shouldn't do?"", u'#great ideas']",7015,6872,"February 19, 2012"
"Every hipster's favorite way to make it look like they take really classy pictures when really they are still using their phones. Yeah, you might look really cute/old school/vintage/retro, but it's still a cell phone picture.",Instagram,Kaypea,"[u'#instagram', u'#hipster', u'#vintage', u'#retro', u'#cell phone', u'#iphone', u'#old school', u'#iphone app', u'#photoshop', u'#stupid']",9606,6857,"May 15, 2011"
"A phrase having many different meanings but usually ""congratulating"" someone else for something they've achieved (usually in the sexual realm but for pretty much anything).",get it,Choate's Diddy,[],3494,6268,"July 18, 2005"
You Only Live Once!,yolo,Colin,[],11723,25687,"April 06, 2004"
"Radio Phonetics for:What the fuck Commonly used to accentuate the phrase.",Whiskey Tango Foxtrot,BillR,[],6157,6929,"June 10, 2003"
"A comment on a Facebook item (e.g. status, note, etc) that was removed by the author due to A) misspelling, B) stupid remark, C) awkward input, or D) other. The result is typically confusion and several wasted minutes on the part of the one who was commented on or anyone who posted previously.",ghost post,Facebook Steals Precious Hours,"[u'#embarrassing', u'#stupid', u'#remarks', u'#comment', u'#facebook']",5195,6230,"April 23, 2009"
A severe mental disability in which sufferers chronically experience acute anxiety attacks related to the welfare of their vehicles. A typical vehicular hypochondriac may face bouts of depression and paranoia stemming from the false belief that his/her car is malfunctioning when it is in fact operating in perfect order.,Vehicular Hypochondria,MikeMikeMikeJimJim,"[u'#subaru impreza wrx', u'#mental', u'#mental health', u'#cars', u'#hypochondria']",2782,4651,"April 09, 2010"
"When a woman leans down to hug a young lad or a seated male, his head often turns  to the side in expectation of the embrace.  The resultant contact  is usually ear-to-boob, hence, earboob. ",earboob,Tenacious Faulker,"[u'#breast', u'#breasts', u'#boob', u'#boobs', u'#booby', u'#boobies', u'#mammary', u'#mammaries', u'#mams', u'#bosum', u'#bosums', u'#bust', u'#tit', u'#tits', u'#titty', u'#titties', u'#jugs', u'#knockers', u'#knobs', u'#clevage', u'#hooters', u'#twins', u'#sweatermeat', u'#meat puppets', u'#fun bags', u'#melons', u'#yabos', u'#mambos', u'#side boob', u'#rack', u'#teets', u'#chest', u'#cans', u'#tatas', u'#ta-tas', u'#bodacious tatas', u'#ballons', u'#breasticles', u'#chesticles', u'#bra', u'#woman', u'#girl', u'#nipple', u'#nipples', u'#nip', u'#nips', u'#gazongas', u'#bazooms', u'#headlights', u'#honkers', u'#airbags', u'#floation devices', u'#torpedoes', u'#dirty pillows']",3726,5261,"January 16, 2009"
the state of being mildly intoxicated by wine or champagnethe state of intoxication preceding being smassy clashedthe type of intoxication that occurs at a formal eventthe type of intoxication that occurs whenever wine or champagne is consumed.,classy smashed,'D.'B.,"[u'#buzzed', u'#wine', u'#smassy clashed', u'#classy', u'#drunk']",2902,4446,"February 16, 2012"
"The Reverse Mormon is a term to describe any obscure sex position. Used when you have no idea what you just did with your partner but you feel as if there should be a name.The origins of the word play upon the fact that the Mormon religion practices abstinence and, thus the Reverse Mormon.",Reverse Mormon,HungoverMormon,"[u'#reverse mormon', u'#sex position', u'#69', u'#sixty nine', u'#sex']",4240,5172,"January 01, 2011"
An injury mostly likely to occur in an advanced first world country due to the high standard of living.,First world injury,Pattrice,"[u'#first wold problem', u'#first world problems', u'#first world', u'#fall', u'#injury']",4734,5754,"February 17, 2012"
"if someone meets your personal criteria for having sex with, he or she is 'taxable.'",taxable,Angie Pangie Bear,"[u'#sex', u'#sexy', u'#desirable', u'#criteria', u'#personal']",2497,7845,"January 05, 2008"
"The quality of a conversation that is both long and rambling, without a fixed purpose and lacking in concision. Generally used in a negative sense.",longversation,Josquind,"[u'#conversation', u'#society', u'#people', u'#word play', u'#boor']",3466,7572,"February 16, 2012"
Someone who uses a speaker phone to feel like they’re important or doing some sort of important business even thought it’s for something stupid.,Speaker Phony,Brett Burkhardt,"[u'#retard', u'#rich rage', u'#stupid bastard', u'#jerk', u'#bitch', u'#idiot', u'#spoiled', u'#instant disconnect']",2400,5363,"April 27, 2008"
"The result of a shortened school week, such as a four day or three day week. The day before the end of the short week is practical Friday. If the week ends Wednesday, Wednesday is practical Friday.",Practical Friday,NNBUME,"[u'#friday', u'#the weekend', u'#party', u'#fun', u'#spring break']",3009,7356,"February 15, 2012"
"I'm Just Saying: Used to add emphasis, or express irony.  Can also be used to express sarcasm. Can be used on the back of almost any sentence, IJS.",IJS,nainai 22,"[u""#i'm telling ya"", u""#i'm not gonna lie"", u""#i'm sorry but no"", u""#i'm tellin' ya"", u""#i'm telling""]",2983,7641,"August 28, 2006"
"To make out, snog, french kiss",shift,The Mysterious M,[],2836,8969,"June 04, 2003"
The day after Easter Sunday when everyone has a surplus of hardboiled eggs. These eggs are often used up by making egg salad.,Egg Salad Monday,hairygerman,"[u'#egg salad', u'#easter', u'#egg', u'#egg salad monday', u'#lunas de ensalada de huevos']",3224,7491,"August 13, 2009"
"The celebration in which juvenile primates hunt for the colored shells of unborn dinosaur young planted by a small, furry woodland creature all in commemoration of a middle ages cult belief that 2000 years ago a zombie walked the earth.",Easter,Codeedog,"[u'#egg', u'#bunny', u'#zombie', u'#jesus', u'#paint']",8427,9760,"April 04, 2010"
"A slightly rude way of saying ""no"".",Does a Catholic Priest make a good babysitter?,gonsfootball,"[u'#no', u'#fuck no', u'#fuck you', u'#no way', u'#hell no', u'#fuck off', u'#never', u""#i don't think so"", u'#asshole', u'#catholic', u'#priest', u'#babysitter']",10184,9117,"February 10, 2012"
the fastest way to lose money,stock market,amios,"[u'#stock', u'#market', u'#share', u'#share market', u'#wall street']",4360,7368,"December 07, 2010"
A man that is known to be gay.  ,Order of the Broken Wrist,rushing1,"[u'#fag', u'#gay', u'#homosexual', u'#polesmoker', u'#fudge packer']",4005,12591,"May 11, 2008"
"The act of taking out a cell phone from one's pocket or purse, resulting in other people in the vicinity taking out and checking their phones as well.",phone-yawn,SpicyNachos,"[u'#phone', u'#yawn', u'#cellphone', u'#cell', u'#subconscious', u'#subconscious reaction']",6157,6812,"January 26, 2011"
Playing the popular online game Words With Friends....while going to the bathroom.,Turds With Friends,albman,"[u'#scrabble', u'#words with friends', u'#bathroom games', u'#word games', u'#bathroom cell use']",4892,7865,"January 30, 2012"
An interjection commonly used after making a witty joke at someone else's expense while they are present.,zing,LT5k,[],7971,7039,"April 03, 2003"
"The cost associated with engaging in any form state sanctioned of long odds gambling, i.e. playing the lottery.",Stupid Tax,Joseph Milton,"[u'#stupid', u'#tax', u'#lottery', u'#powerball', u'#money', u'#gambling']",4445,6591,"July 05, 2007"
"The amount of time it takes an Apple product to get old, from the day it is purchased. An Apple Year is usually less than one month, although it depends based on the product",Apple Year,imamac,"[u'#apple', u'#product', u'#steve jobs', u'#apple store', u'#ipod']",5390,7615,"February 10, 2012"
One who gets so high that he or she begins to speak in a foreign language.,Rosetta Stoned,bmitch373,"[u'#stoned', u'#high', u'#weed', u'#drugs', u'#marijuana']",11020,6335,"May 26, 2009"
"Glamorous camping. Satisfying your craving for the outdoors and your penchant for a good meal, nice glass of wine, and a comfortable bed.",glamping,MapleLeafHRM,"[u'#glamorous', u'#luxury', u'#camping', u'#glamping', u'#comfort']",3873,7591,"November 05, 2008"
"Similar to sleep apnea, though a patient continually wakes themselves up due to the severity of their fart.",fart apnea,fart giver,"[u'#farting', u'#sleeping', u'#fart bomb', u'#silent but violent', u'#sleep farting']",4891,6821,"June 22, 2011"
"Noun, botox when used on a straight male, usually something he doesn't want you to know about.Some men use to prevent or erase wrinkles, while others use it to improve their impassive poker face.",Brotox,MissXanthe,"[u'#botox', u'#anti-aging', u'#dude', u'#bro', u'#aging', u'#plastic surgery']",2980,7235,"July 11, 2009"
"The uncontrollable urge to conduct a Google search on any and every question, thought, concept, word or name that comes to mind, including new acquaintances, products and companies.",Google tic,TNNelson,"[u'#google', u'#internet', u'#tic', u""#tourette's"", u'#urge']",5641,5580,"January 15, 2012"
"The temporary increase in self importance that individuals assign to themselves while waiting at airports.Future passengers suffering from the airport effect often portray more serious facial expressions, increase their cell phone speaking volume if discussing business matters, and perform fake work on their laptop near heavily populated areas.",The Airport Effect,Business Select,"[u'#science', u'#psychology', u'#airport', u'#douchebag', u'#business', u'#work']",5371,4083,"February 09, 2012"
"When someone draws a penis and testes, dick and scrote, or cock and balls on a possession of yours, most typically a car. The 'drawing' can be birthed from a finger wiping through dirt, sharpie marker, DNA, or anything else that would commonly be regarded as hilarious.",cock 'n balled,habitual sassbox,"[u'#graffiti', u'#cock and balls', u'#penis', u'#cockenballed', u'#balls', u'#dick', u'#scrotum']",3321,4408,"February 09, 2012"
